,Life Insurance (LI): First Year Premium Underwritten (FP)
Region,India
Subnational,
Frequency,Monthly
Unit,INR mn
Source,Insurance Regulatory and Development Authority of India
Status,Active
Series ID,21923301 (IZNAA)
SR Code,SR849846
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,Jun-03
Last Obs. Date,Sep-25
Last Update Time,10-10-2025
Series Remarks,[COVID-19-IMPACT]
Suggestions,
Mean,1502240.634
Variance,1.40E+12
Standard Deviation,1182349.081
Skewness,1.187604504
Kurtosis,1.507094979
Coefficient Variation,0.78705705
Min,87823.55
Max,6143907.672
Median,1075172.5
Sum,384573602.2
Subtract,-6056084.122
No. of Obs,256
Jun-03,95000.76
Jul-03,106006.2
Aug-03,104374.88
Sep-03,110168.87
Oct-03,123243.9
Nov-03,130036.51
Dec-03,174640.01
Jan-04,143247.79
Feb-04,189795.2
Mar-04,567007.64
Apr-04,87823.55
May-04,142726.96
Jun-04,135400.5
Jul-04,186605.46
Aug-04,158022.55
Sep-04,132376.03
Oct-04,152672.57
Nov-04,138577.72
Dec-04,181634.52
Jan-05,156636.16
Feb-05,222381.33
Mar-05,813014.01
Apr-05,126029.86
May-05,141749.5
Jun-05,176108.27
Jul-05,208539.87
Aug-05,252204.77
Sep-05,227908.05
Oct-05,243966.72
Nov-05,284084.18
Dec-05,328975.32
Jan-06,316384.78
Feb-06,322919
Mar-06,316384.78
Apr-06,199643
May-06,387246
Jun-06,786796
Jul-06,435939
Aug-06,546922
Sep-06,609857
Oct-06,662620
Nov-06,778253
Dec-06,480544
Jan-07,460158
Feb-07,445741
Mar-07,1746874
Apr-07,298228
May-07,434941
Jun-07,518010
Jul-07,734456
Aug-07,808514
Sep-07,521876
Oct-07,545445
Nov-07,608116
Dec-07,888095
Jan-08,955141
Feb-08,884364
Mar-08,2101811
Apr-08,278011
May-08,533921
Jun-08,620132
Jul-08,585841
Aug-08,627357
Sep-08,814855
Oct-08,508737
Nov-08,565239
Dec-08,696109
Jan-09,1304372
Feb-09,667993
Mar-09,1509090
Apr-09,360158
May-09,505247
Jun-09,580228
Jul-09,754021
Aug-09,904418
Sep-09,800588
Oct-09,764471
Nov-09,866812
Dec-09,1220111
Jan-10,778971
Feb-10,854385
Mar-10,2539902
Apr-10,574633
May-10,822025
Jun-10,1155614
Jul-10,872699
Aug-10,1850049
Sep-10,961274
Oct-10,734610
Nov-10,728197
Dec-10,970896
Jan-11,830119
Feb-11,887773
Mar-11,2194800
Apr-11,506337
May-11,719007
Jun-11,602297
Jul-11,851124
Aug-11,1385789
Sep-11,839284
Oct-11,669071
Nov-11,669574
Dec-11,952467
Jan-12,954314
Feb-12,851915
Mar-12,2421655
Apr-12,493702
May-12,749181
Jun-12,702248
Jul-12,1172865
Aug-12,817767
Sep-12,760519
Oct-12,685128
Nov-12,681010
Dec-12,856029
Jan-13,734106
Feb-13,797619
Mar-13,2250894
Apr-13,496537
May-13,677764
Jun-13,747417
Jul-13,950722.8333
Aug-13,986825.6389
Sep-13,1121959
Oct-13,830204.2454
Nov-13,885815.4529
Dec-13,2019551
Jan-14,1132513.028
Feb-14,1162811.394
Mar-14,2092840
Apr-14,1353955.853
May-14,1441247.788
Jun-14,871570
Jul-14,1342489.677
Aug-14,1377485.785
Sep-14,888164
Oct-14,1212485.517
Nov-14,1188907.128
Dec-14,1007180
Jan-15,919249
Feb-15,761063
Mar-15,2256221
Apr-15,526830
May-15,838267
Jun-15,991718
Jul-15,1331997
Aug-15,898259
Sep-15,1041535
Oct-15,1071177
Nov-15,755305
Dec-15,1102682
Jan-16,1028389
Feb-16,1129622
Mar-16,3148929
Apr-16,797254
May-16,1061010
Jun-16,1281004
Jul-16,1385444
Aug-16,1428245
Sep-16,1676741
Oct-16,1110704
Nov-16,1606140
Dec-16,1301239
Jan-17,1313810
Feb-17,1079168
Mar-17,3467574
Apr-17,698951
May-17,1180101
Jun-17,1446613
Jul-17,2042768
Aug-17,1751359
Sep-17,2089207
Oct-17,1387434
Nov-17,1699495
Dec-17,1531747
Jan-18,1271589
Feb-18,1372496
Mar-18,2917131
Apr-18,727998
May-18,1283824
Jun-18,1661157
Jul-18,2021926
Aug-18,1863929
Sep-18,1749068
Oct-18,1548047
Nov-18,1485777
Dec-18,1823780
Jan-19,1741976
Feb-19,1820950
Mar-19,3745936
Apr-19,998188
May-19,1841402
Jun-19,3224133
Jul-19,2150925
Aug-19,2355494
Sep-19,2005670
Oct-19,1727186
Nov-19,2622124
Dec-19,2507989
Jan-20,2062301
Feb-20,1853319
Mar-20,2540930
Apr-20,672774
May-20,1373901
Jun-20,2886868
Jul-20,2298610
Aug-20,2703979
Sep-20,2536632
Oct-20,2277603
Nov-20,1915930
Dec-20,2438342
Jan-21,2138970
Feb-21,2242521
Mar-21,4341669
Apr-21,973879
May-21,1297699
Jun-21,3000948
Jul-21,2043472
Aug-21,2782074
Sep-21,3100117
Oct-21,2160625
Nov-21,2717726
Dec-21,2446646
Jan-22,2195704
Feb-22,2746512.599
Mar-22,5960898.188
Apr-22,1793961.817
May-22,2448035.689
Jun-22,3125455.483
Jul-22,3907890.549
Aug-22,3285699.588
Sep-22,3636652.501
Oct-22,2491657.764
Nov-22,3545880.071
Dec-22,2683828.976
Jan-23,2642364.74
Feb-23,2284764.649
Mar-23,5208112.083
Apr-23,1256530.587
May-23,2347781
Jun-23,3696173.423
Jul-23,2786710.008
Aug-23,2678855.238
Sep-23,3071628.784
Oct-23,2681900.623
Nov-23,2649483.332
Dec-23,3858111.01
Jan-24,3355975.497
Feb-24,3391318.472
Mar-24,6021362.072
Apr-24,2025886.024
May-24,2703414.525
Jun-24,4243369.168
Jul-24,3181912.578
Aug-24,3264408.815
Sep-24,3502027.928
Oct-24,3034759.989
Nov-24,2530655.914
Dec-24,3021871.451
Jan-25,3082517.259
Feb-25,2998557.589
Mar-25,6143907.672
Apr-25,2196418.572
May-25,3046321.153
Jun-25,4111714.322
Jul-25,3895804.728
Aug-25,3095877.496
Sep-25,4020667.078
